,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Min Temperature,Wind Speed
0,Bambous Virieux,20,MU,1528426800,78,-20.34,57.76,296.15,296.15,2.6
1,Bissora,8,GW,1528428928,80,12.23,-15.45,298.377,298.377,5.02
2,Makui,0,ID,1528428928,95,-6.37,105.83,301.477,301.477,5.82
3,Ushuaia,75,AR,1528423200,56,-54.8,-68.3,278.15,278.15,6.7
4,Guizikeng,75,TW,1528426800,63,25.17,121.44,307.15,306.15,7.2
5,Salekhard,92,RU,1528428929,98,66.55,66.6,276.227,276.227,5.02
6,Luanda,0,AO,1528428929,76,-8.84,13.29,294.927,294.927,2.92
7,Flagstaff,1,US,1528426620,13,35.2,-111.65,299.15,292.15,4.1
8,Kodiak,1,US,1528426380,71,57.79,-152.41,285.15,285.15,3.1
9,Lorengau,56,PG,1528428930,92,-2.03,147.28,303.427,303.427,3.57
10,Walmer,0,ZA,1528426800,82,-33.96,25.6,288.15,288.15,4.1
11,Margate,1,US,1528426380,88,26.24,-80.21,300.15,297.15,1.12
12,Punta Arenas,90,CL,1528426800,100,-53.16,-70.92,276.15,276.15,5.7
13,Bluff,12,NZ,1528428931,99,-46.6,168.35,282.977,282.977,5.87
14,Gore,8,NZ,1528428931,96,-46.19,168.87,280.577,280.577,1.87
15,Tiksi,0,RU,1528428931,81,71.64,128.86,281.077,281.077,2.32
16,Coahuayana,40,MX,1528425600,78,18.74,-103.67,297.15,297.15,5.1
17,Mahebourg,20,MU,1528426800,78,-20.41,57.7,296.15,296.15,2.6
18,Busselton,100,AU,1528428932,100,-33.66,115.35,288.327,288.327,3.67
19,Albany,75,US,1528426440,63,42.65,-73.76,292.15,288.15,4.1
20,Samarai,8,PG,1528428932,99,-10.61,150.66,299.377,299.377,5.72
21,De Waterkant,90,ZA,1528426800,93,-33.92,18.42,287.15,287.15,1.5
22,Wanaka,32,NZ,1528428933,67,-44.7,169.13,279.727,279.727,0.97
23,Narsaq,75,GL,1528426200,86,60.91,-46.05,277.15,277.15,1.12
24,Lipin Bor,88,RU,1528428933,100,60.26,37.98,282.177,282.177,7.72
25,Tasiilaq,92,GL,1528426200,93,65.61,-37.63,275.15,275.15,1.0
26,Williamsburg,1,US,1528427700,73,37.21,-76.78,294.15,291.15,4.1
27,Sao Filipe,0,CV,1528428934,96,14.9,-24.49,296.327,296.327,5.22
28,Atuona,0,PF,1528428934,100,-9.8,-139.04,299.927,299.927,5.47
29,Nybyen,75,SJ,1528426200,69,78.06,14.23,275.15,275.15,7.2
30,Hilo,75,US,1528427580,78,19.72,-155.09,299.15,293.15,4.6
31,Bredasdorp,80,ZA,1528426800,87,-34.54,20.06,287.15,287.15,0.5
32,Puerto Ayora,36,EC,1528428936,100,-0.74,-90.32,295.777,295.777,4.67
33,San Francisco County,40,US,1528426560,59,37.76,-122.44,291.15,289.15,11.8
