,Compound,Negative,Neutral,Positive,Tweets Ago
0,-0.296,0.833,0.167,0.0,1
1,0.1779,0.734,0.12,0.147,2
2,-0.5562,0.551,0.315,0.134,3
3,0.5093,0.829,0.0,0.171,4
4,-0.296,0.833,0.167,0.0,5
5,0.0,1.0,0.0,0.0,6
6,0.0,1.0,0.0,0.0,7
7,0.4767,0.78,0.0,0.22,8
8,0.8478,0.594,0.0,0.406,9
9,0.92,0.537,0.0,0.463,10
10,0.0,1.0,0.0,0.0,11
11,0.4404,0.847,0.0,0.153,12
12,0.836,0.533,0.0,0.467,13
13,0.0,1.0,0.0,0.0,14
14,0.6369,0.682,0.0,0.318,15
15,0.7978,0.457,0.0,0.543,16
16,0.9523,0.45,0.0,0.55,17
17,0.5994,0.698,0.0,0.302,18
18,0.4215,0.877,0.0,0.123,19
19,0.8932,0.483,0.0,0.517,20
20,0.0,1.0,0.0,0.0,21
21,0.0,1.0,0.0,0.0,22
22,0.8908,0.509,0.0,0.491,23
23,0.0,1.0,0.0,0.0,24
24,0.4926,0.738,0.0,0.262,25
25,0.5093,0.477,0.0,0.523,26
26,0.7579,0.435,0.0,0.565,27
27,0.6467,0.752,0.0,0.248,28
28,0.0,1.0,0.0,0.0,29
29,0.636,0.724,0.0,0.276,30
30,0.8834,0.437,0.0,0.563,31
31,0.0,1.0,0.0,0.0,32
32,0.7351,0.625,0.079,0.296,33
33,0.0,1.0,0.0,0.0,34
34,0.0,1.0,0.0,0.0,35
35,0.4019,0.838,0.0,0.162,36
36,0.9151,0.543,0.0,0.457,37
37,0.6369,0.625,0.0,0.375,38
38,0.1511,0.898,0.0,0.102,39
39,0.1531,0.852,0.0,0.148,40
40,0.8834,0.437,0.0,0.563,41
41,0.0,1.0,0.0,0.0,42
42,0.2714,0.793,0.0,0.207,43
43,0.0,1.0,0.0,0.0,44
44,0.8478,0.494,0.0,0.506,45
45,0.8858,0.435,0.0,0.565,46
46,0.0,1.0,0.0,0.0,47
47,0.25,0.92,0.0,0.08,48
48,0.4588,0.833,0.0,0.167,49
49,0.0,1.0,0.0,0.0,50
50,0.3612,0.737,0.0,0.263,51
51,0.8908,0.43,0.0,0.57,52
52,0.0,1.0,0.0,0.0,53
53,0.0,1.0,0.0,0.0,54
54,0.6369,0.588,0.0,0.412,55
55,0.0,1.0,0.0,0.0,56
56,0.6369,0.756,0.0,0.244,57
57,0.8834,0.437,0.0,0.563,58
58,0.6696,0.64,0.0,0.36,59
59,0.0,1.0,0.0,0.0,60
60,0.0,1.0,0.0,0.0,61
61,0.0,1.0,0.0,0.0,62
62,0.0,1.0,0.0,0.0,63
63,0.4184,0.843,0.0,0.157,64
64,0.5093,0.845,0.0,0.155,65
65,0.0,1.0,0.0,0.0,66
66,0.296,0.82,0.0,0.18,67
67,0.0,1.0,0.0,0.0,68
68,0.9078,0.564,0.0,0.436,69
69,0.3612,0.872,0.0,0.128,70
70,0.2732,0.719,0.105,0.176,71
71,0.3595,0.872,0.0,0.128,72
72,-0.4404,0.723,0.177,0.1,73
73,0.4574,0.824,0.0,0.176,74
74,0.5093,0.845,0.0,0.155,75
75,0.0,1.0,0.0,0.0,76
76,0.0,1.0,0.0,0.0,77
77,-0.3903,0.807,0.131,0.062,78
78,0.8442,0.664,0.0,0.336,79
79,0.8932,0.545,0.0,0.455,80
80,0.4926,0.849,0.0,0.151,81
81,0.0,1.0,0.0,0.0,82
82,0.0,1.0,0.0,0.0,83
83,0.6239,0.789,0.0,0.211,84
84,0.5859,0.826,0.0,0.174,85
85,0.1139,0.917,0.0,0.083,86
86,0.0,1.0,0.0,0.0,87
87,0.0,1.0,0.0,0.0,88
88,0.3382,0.808,0.061,0.131,89
89,0.1867,0.92,0.0,0.08,90
90,0.4199,0.715,0.0,0.285,91
91,0.0,1.0,0.0,0.0,92
92,0.3595,0.849,0.0,0.151,93
93,0.7177,0.715,0.0,0.285,94
94,0.1867,0.907,0.0,0.093,95
95,0.0,1.0,0.0,0.0,96
96,0.5562,0.854,0.0,0.146,97
97,0.75,0.758,0.0,0.242,98
98,0.5574,0.841,0.0,0.159,99
99,0.3802,0.89,0.0,0.11,100
