,Compound,Negative,Neutral,Positive,Tweets Ago
0,0.0,1.0,0.0,0.0,1
1,0.5267,0.779,0.0,0.221,2
2,0.0,1.0,0.0,0.0,3
3,-0.34,0.862,0.138,0.0,4
4,0.5267,0.805,0.0,0.195,5
5,-0.5859,0.789,0.211,0.0,6
6,0.0,1.0,0.0,0.0,7
7,-0.1531,0.922,0.078,0.0,8
8,0.0772,0.769,0.109,0.122,9
9,0.0,1.0,0.0,0.0,10
10,0.4124,0.884,0.0,0.116,11
11,0.0,1.0,0.0,0.0,12
12,0.0,1.0,0.0,0.0,13
13,0.0,1.0,0.0,0.0,14
14,0.296,0.645,0.133,0.222,15
15,0.0,1.0,0.0,0.0,16
16,0.0,1.0,0.0,0.0,17
17,0.0,1.0,0.0,0.0,18
18,-0.2263,0.909,0.091,0.0,19
19,0.1063,0.833,0.073,0.094,20
20,0.0,1.0,0.0,0.0,21
21,0.4215,0.859,0.0,0.141,22
22,-0.4767,0.89,0.11,0.0,23
23,0.5106,0.837,0.0,0.163,24
24,0.0,1.0,0.0,0.0,25
25,-0.4588,0.727,0.273,0.0,26
26,-0.3818,0.635,0.254,0.111,27
27,0.0,1.0,0.0,0.0,28
28,-0.3612,0.865,0.135,0.0,29
29,-0.2732,0.909,0.091,0.0,30
30,0.0,1.0,0.0,0.0,31
31,0.0,1.0,0.0,0.0,32
32,0.0,1.0,0.0,0.0,33
33,0.5719,0.783,0.0,0.217,34
34,0.0,1.0,0.0,0.0,35
35,0.0,1.0,0.0,0.0,36
36,-0.1893,0.92,0.08,0.0,37
37,0.5267,0.793,0.0,0.207,38
38,0.5574,0.787,0.0,0.213,39
39,0.0,1.0,0.0,0.0,40
40,-0.4588,0.842,0.158,0.0,41
41,0.3182,0.887,0.0,0.113,42
42,0.0772,0.929,0.0,0.071,43
43,0.0572,0.88,0.0,0.12,44
44,0.4995,0.84,0.0,0.16,45
45,-0.6597,0.732,0.268,0.0,46
46,0.34,0.888,0.0,0.112,47
47,0.5267,0.848,0.0,0.152,48
48,0.0,1.0,0.0,0.0,49
49,-0.3862,0.617,0.236,0.147,50
50,0.0,1.0,0.0,0.0,51
51,-0.2025,0.758,0.141,0.101,52
52,0.0,1.0,0.0,0.0,53
53,0.1779,0.925,0.0,0.075,54
54,0.0,1.0,0.0,0.0,55
55,0.2732,0.753,0.1,0.146,56
56,0.4019,0.876,0.0,0.124,57
57,0.0,1.0,0.0,0.0,58
58,-0.7964,0.738,0.262,0.0,59
59,0.0,1.0,0.0,0.0,60
60,-0.2023,0.847,0.153,0.0,61
61,0.0516,0.921,0.0,0.079,62
62,0.0,1.0,0.0,0.0,63
63,-0.6705,0.809,0.191,0.0,64
64,0.0,1.0,0.0,0.0,65
65,0.0,1.0,0.0,0.0,66
66,0.6369,0.575,0.119,0.305,67
67,0.5106,0.837,0.0,0.163,68
68,-0.5574,0.816,0.184,0.0,69
69,-0.5267,0.779,0.221,0.0,70
70,-0.4215,0.843,0.157,0.0,71
71,0.0,1.0,0.0,0.0,72
72,-0.1027,0.583,0.225,0.192,73
73,-0.25,0.889,0.111,0.0,74
74,0.0,1.0,0.0,0.0,75
75,-0.4678,0.845,0.155,0.0,76
76,-0.4215,0.797,0.203,0.0,77
77,-0.1027,0.931,0.069,0.0,78
78,0.0,1.0,0.0,0.0,79
79,-0.7964,0.664,0.336,0.0,80
80,0.5267,0.833,0.0,0.167,81
81,0.0,1.0,0.0,0.0,82
82,0.296,0.845,0.0,0.155,83
83,0.5267,0.815,0.0,0.185,84
84,-0.4939,0.686,0.209,0.105,85
85,-0.3744,0.891,0.109,0.0,86
86,0.6597,0.803,0.0,0.197,87
87,0.1027,0.928,0.0,0.072,88
88,0.0,1.0,0.0,0.0,89
89,0.0,1.0,0.0,0.0,90
90,0.0,1.0,0.0,0.0,91
91,-0.4939,0.758,0.242,0.0,92
92,0.1027,0.928,0.0,0.072,93
93,-0.3182,0.777,0.223,0.0,94
94,0.0,1.0,0.0,0.0,95
95,0.0,1.0,0.0,0.0,96
96,0.0,1.0,0.0,0.0,97
97,0.0,1.0,0.0,0.0,98
98,0.5267,0.848,0.0,0.152,99
99,-0.1779,0.513,0.274,0.214,100
