,Compound,Negative,Neutral,Positive,Tweets Ago
0,-0.4588,0.75,0.25,0.0,1
1,0.0,1.0,0.0,0.0,2
2,-0.4019,0.748,0.252,0.0,3
3,-0.3182,0.859,0.141,0.0,4
4,0.5719,0.684,0.0,0.316,5
5,0.0,1.0,0.0,0.0,6
6,-0.0772,0.657,0.182,0.161,7
7,0.0,1.0,0.0,0.0,8
8,0.0,1.0,0.0,0.0,9
9,0.0,1.0,0.0,0.0,10
10,0.0,1.0,0.0,0.0,11
11,-0.4215,0.826,0.174,0.0,12
12,-0.2732,0.733,0.162,0.105,13
13,0.0,1.0,0.0,0.0,14
14,0.0,1.0,0.0,0.0,15
15,0.0,1.0,0.0,0.0,16
16,0.0,1.0,0.0,0.0,17
17,0.0,1.0,0.0,0.0,18
18,-0.3182,0.859,0.141,0.0,19
19,0.128,0.683,0.143,0.174,20
20,0.0,1.0,0.0,0.0,21
21,0.0516,0.688,0.15,0.163,22
22,0.0,1.0,0.0,0.0,23
23,0.5267,0.804,0.0,0.196,24
24,0.0,1.0,0.0,0.0,25
25,-0.0286,0.939,0.061,0.0,26
26,-0.7783,0.672,0.328,0.0,27
27,0.4588,0.818,0.0,0.182,28
28,-0.3182,0.827,0.173,0.0,29
29,0.0,1.0,0.0,0.0,30
30,0.0,1.0,0.0,0.0,31
31,0.5859,0.759,0.0,0.241,32
32,-0.2263,0.872,0.128,0.0,33
33,0.0,1.0,0.0,0.0,34
34,-0.34,0.902,0.098,0.0,35
35,0.0,1.0,0.0,0.0,36
36,0.0,1.0,0.0,0.0,37
37,-0.5859,0.769,0.231,0.0,38
38,0.0,1.0,0.0,0.0,39
39,0.5267,0.833,0.0,0.167,40
40,0.0,1.0,0.0,0.0,41
41,0.0,1.0,0.0,0.0,42
42,0.0,1.0,0.0,0.0,43
43,-0.0258,0.734,0.135,0.131,44
44,-0.1027,0.938,0.062,0.0,45
45,-0.2263,0.894,0.106,0.0,46
46,0.2023,0.893,0.0,0.107,47
47,0.0,1.0,0.0,0.0,48
48,0.0,1.0,0.0,0.0,49
49,0.0,1.0,0.0,0.0,50
50,0.0,1.0,0.0,0.0,51
51,-0.5859,0.766,0.234,0.0,52
52,0.0,1.0,0.0,0.0,53
53,0.7125,0.702,0.0,0.298,54
54,0.4902,0.842,0.0,0.158,55
55,0.0,1.0,0.0,0.0,56
56,-0.1027,0.935,0.065,0.0,57
57,-0.0772,0.657,0.182,0.161,58
58,0.5574,0.816,0.0,0.184,59
59,-0.6249,0.638,0.362,0.0,60
60,-0.6126,0.792,0.208,0.0,61
61,-0.3818,0.809,0.191,0.0,62
62,0.0,1.0,0.0,0.0,63
63,-0.0191,0.946,0.054,0.0,64
64,0.0,1.0,0.0,0.0,65
65,0.4019,0.856,0.0,0.144,66
66,0.0,1.0,0.0,0.0,67
67,0.0,1.0,0.0,0.0,68
68,-0.2023,0.913,0.087,0.0,69
69,-0.2023,0.739,0.148,0.113,70
70,0.3182,0.887,0.0,0.113,71
71,-0.8225,0.703,0.297,0.0,72
72,-0.7845,0.669,0.331,0.0,73
73,0.0,1.0,0.0,0.0,74
74,-0.1027,0.924,0.076,0.0,75
75,0.3818,0.867,0.0,0.133,76
76,0.1548,0.805,0.084,0.11,77
77,0.5719,0.734,0.0,0.266,78
78,0.0,1.0,0.0,0.0,79
79,0.5267,0.815,0.0,0.185,80
80,0.1779,0.884,0.0,0.116,81
81,0.0258,0.726,0.134,0.14,82
82,0.0,1.0,0.0,0.0,83
83,0.0,1.0,0.0,0.0,84
84,-0.5267,0.841,0.159,0.0,85
85,0.34,0.87,0.0,0.13,86
86,0.34,0.876,0.0,0.124,87
87,0.516,0.693,0.086,0.221,88
88,0.0,1.0,0.0,0.0,89
89,0.0,0.688,0.156,0.156,90
90,0.0,1.0,0.0,0.0,91
91,0.0,1.0,0.0,0.0,92
92,0.0,1.0,0.0,0.0,93
93,0.0,1.0,0.0,0.0,94
94,0.0,1.0,0.0,0.0,95
95,-0.1761,0.918,0.082,0.0,96
96,-0.7645,0.572,0.332,0.096,97
97,0.0,1.0,0.0,0.0,98
98,0.0,1.0,0.0,0.0,99
99,-0.4019,0.891,0.109,0.0,100
