,Compound,Negative,Neutral,Positive,Tweets Ago
0,0.0,1.0,0.0,0.0,1
1,0.4215,0.882,0.0,0.118,2
2,-0.6705,0.609,0.391,0.0,3
3,0.0,1.0,0.0,0.0,4
4,0.8248,0.713,0.0,0.287,5
5,0.0,0.746,0.127,0.127,6
6,0.0,1.0,0.0,0.0,7
7,-0.7269,0.766,0.234,0.0,8
8,0.0,1.0,0.0,0.0,9
9,-0.5267,0.726,0.274,0.0,10
10,-0.5574,0.859,0.141,0.0,11
11,0.0,1.0,0.0,0.0,12
12,0.0,1.0,0.0,0.0,13
13,-0.4215,0.882,0.118,0.0,14
14,-0.2732,0.9,0.1,0.0,15
15,0.1027,0.887,0.0,0.113,16
16,0.0,1.0,0.0,0.0,17
17,0.0,1.0,0.0,0.0,18
18,0.3612,0.884,0.0,0.116,19
19,0.5566,0.759,0.066,0.175,20
20,-0.1027,0.931,0.069,0.0,21
21,0.3818,0.741,0.093,0.167,22
22,-0.6486,0.762,0.238,0.0,23
23,0.0,1.0,0.0,0.0,24
24,0.4588,0.852,0.0,0.148,25
25,0.0,1.0,0.0,0.0,26
26,0.0,1.0,0.0,0.0,27
27,0.0,1.0,0.0,0.0,28
28,0.0,1.0,0.0,0.0,29
29,-0.4767,0.886,0.114,0.0,30
30,0.6597,0.779,0.0,0.221,31
31,0.6908,0.769,0.0,0.231,32
32,0.0,1.0,0.0,0.0,33
33,0.0,1.0,0.0,0.0,34
34,0.0,1.0,0.0,0.0,35
35,0.5859,0.78,0.0,0.22,36
36,0.3076,0.682,0.132,0.186,37
37,0.3612,0.865,0.0,0.135,38
38,0.0,1.0,0.0,0.0,39
39,0.0,1.0,0.0,0.0,40
40,-0.296,0.854,0.098,0.049,41
41,0.4215,0.859,0.0,0.141,42
42,0.4404,0.854,0.0,0.146,43
43,-0.3089,0.861,0.139,0.0,44
44,0.6369,0.776,0.0,0.224,45
45,0.6369,0.766,0.0,0.234,46
46,0.0,1.0,0.0,0.0,47
47,0.5566,0.759,0.066,0.175,48
48,0.0,1.0,0.0,0.0,49
49,0.5106,0.807,0.0,0.193,50
50,-0.3818,0.841,0.159,0.0,51
51,0.0,1.0,0.0,0.0,52
52,-0.7906,0.75,0.25,0.0,53
53,0.1027,0.645,0.149,0.206,54
54,0.0,1.0,0.0,0.0,55
55,0.0,1.0,0.0,0.0,56
56,0.0,1.0,0.0,0.0,57
57,0.6808,0.777,0.0,0.223,58
58,0.3182,0.892,0.0,0.108,59
59,0.0,1.0,0.0,0.0,60
60,0.0,1.0,0.0,0.0,61
61,-0.296,0.909,0.091,0.0,62
62,-0.4404,0.879,0.121,0.0,63
63,0.0,1.0,0.0,0.0,64
64,0.0,1.0,0.0,0.0,65
65,0.0,1.0,0.0,0.0,66
66,-0.5859,0.78,0.22,0.0,67
67,-0.2263,0.888,0.112,0.0,68
68,0.296,0.752,0.097,0.15,69
69,-0.4215,0.833,0.167,0.0,70
70,0.6808,0.772,0.0,0.228,71
71,0.0,1.0,0.0,0.0,72
72,0.0,1.0,0.0,0.0,73
73,0.6908,0.737,0.0,0.263,74
74,0.4927,0.862,0.0,0.138,75
75,-0.5411,0.857,0.143,0.0,76
76,0.5574,0.847,0.0,0.153,77
77,-0.5106,0.845,0.155,0.0,78
78,-0.8689,0.62,0.38,0.0,79
79,0.0,1.0,0.0,0.0,80
80,0.4939,0.849,0.0,0.151,81
81,0.4215,0.859,0.0,0.141,82
82,-0.7849,0.711,0.289,0.0,83
83,-0.0516,0.691,0.159,0.15,84
84,0.0258,0.773,0.111,0.116,85
85,-0.5574,0.841,0.159,0.0,86
86,0.0,1.0,0.0,0.0,87
87,0.0,1.0,0.0,0.0,88
88,0.3445,0.709,0.138,0.154,89
89,0.0,1.0,0.0,0.0,90
90,0.3612,0.898,0.0,0.102,91
91,-0.4588,0.889,0.111,0.0,92
92,0.0,1.0,0.0,0.0,93
93,-0.2263,0.924,0.076,0.0,94
94,-0.3182,0.827,0.173,0.0,95
95,0.3818,0.852,0.0,0.148,96
96,0.0,1.0,0.0,0.0,97
97,0.6777,0.744,0.058,0.198,98
98,0.6369,0.729,0.0,0.271,99
99,0.0,1.0,0.0,0.0,100
